transportmean_name,line_number,order_number,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
METRO,2,2_10,par_4_33,33,BANCO DE ESPANA,Calle de Alcalá 49,40.41922,-3.6949699999999996,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2_11,par_4_34,34,SEVILLA,Calle de Alcalá 23,40.41805,-3.69925,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2_12,par_4_12,12,SOL,Plaza de la Puerta del Sol 6,40.41688,-3.7032599999999998,A,http://www.crtm.es,0,est_90_58,,1
METRO,2,2_13,par_4_36,36,OPERA,Plaza de Isabel II 9,40.41809,-3.7094199999999997,A,http://www.crtm.es,0,est_4_36,Europe/Madrid,0
METRO,2,2_14,par_4_37,37,SANTO DOMINGO,Calle de San Bernardo 11,40.42132,-3.70796,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2_15,par_4_38,38,NOVICIADO,Calle de San Bernardo 49,40.42484,-3.7074199999999995,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2_16,par_4_39,39,SAN BERNARDO,Calle de San Bernardo 94,40.430009999999996,-3.70557,A,http://www.crtm.es,0,est_4_39,Europe/Madrid,0
METRO,2,2_17,par_4_40,40,QUEVEDO,Gta de Quevedo 1,40.43322,-3.70433,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2_18,par_4_41,41,CANAL,Calle de Bravo Murillo 40,40.43841,-3.70433,A,http://www.crtm.es,0,est_4_41,Europe/Madrid,2
METRO,2,2_19,par_4_6,6,CUATRO CAMINOS,Gta de Cuatro Caminos 2,40.44697,-3.7039699999999995,A,http://www.crtm.es,0,est_4_6,Europe/Madrid,2
METRO,3,3_0,par_4_273,273,VILLAVERDE ALTO,Calle del Valle de Tobalina 56,40.341229999999996,-3.71199,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3_1,par_4_272,272,SAN CRISTOBAL,Avda de Andalucía 81,40.34154,-3.6931800000000004,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3_2,par_4_271,271,VILLAVERDE BAJO-CRUCE,Avda de Andalucía 38,40.35089,-3.69265,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3_3,par_4_270,270,CIUDAD DE LOS ANGELES,Avda de Andalucía 38,40.359590000000004,-3.69363,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3_4,par_4_269,269,SAN FERMIN-ORCASUR,Avda de Andalucía 9,40.36999,-3.6941800000000002,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3_5,par_4_268,268,HOSPITAL 12 DE OCTUBRE,Avda de Córdoba 49,40.375029999999995,-3.69585,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3_6,par_4_267,267,ALMENDRALES,Avda de Córdoba 21,40.38409,-3.6978800000000005,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3_7,par_4_43,43,LEGAZPI,Plaza de Legazpi 2 B,40.39116,-3.6951099999999997,A,http://www.crtm.es,0,est_4_43,Europe/Madrid,2
METRO,3,3_8,par_4_44,44,DELICIAS,Paseo de las Delicias 60,40.3999,-3.6942,A,http://www.crtm.es,0,,Europe/Madrid,2
